routeshortname,routelongname,stopid,departuretime,stopsequence,boarding,landing,occupation,day,stop_lon,stop_lat,horario,stopname
132,Ipiranga / Bandeirantes,10073112,05:00,1,0,0,0,2024-11-01,-43.34589386,-21.79627178,05:00,"Rua Elmaia Cunha, 313 - Ponto Final do Ipiranga"
132,Ipiranga / Bandeirantes,10073195,05:00,2,1,0,1,2024-11-01,-43.34633625,-21.79526711,05:00:41,"Rua Elmaia Cunha, 283"
132,Ipiranga / Bandeirantes,10073199,05:00,3,0,0,1,2024-11-01,-43.34685278,-21.79448891,05:01:01,"Rua Elmaia Cunha, 163"
132,Ipiranga / Bandeirantes,10205987,05:00,4,2,1,2,2024-11-01,-43.34776689,-21.79330711,05:01:21,"Rua Elmaia Cunha, 403"
132,Ipiranga / Bandeirantes,10073422,05:00,5,2,0,4,2024-11-01,-43.34819233,-21.79495102,05:02:21,"Rua Renato Pandolfi, 330"
132,Ipiranga / Bandeirantes,10072234,05:00,6,0,0,4,2024-11-01,-43.34746611,-21.7966102,05:03:01,"Rua Renato Pandolfi, 922"
132,Ipiranga / Bandeirantes,10069952,05:00,7,4,0,8,2024-11-01,-43.34783375,-21.79708968,05:03:21,"Avenida Darcy Vargas, 1003"
132,Ipiranga / Bandeirantes,10069896,05:00,8,0,0,8,2024-11-01,-43.34846974,-21.79585573,05:04:21,"Avenida Darcy Vargas, 867"
132,Ipiranga / Bandeirantes,10069883,05:00,9,0,0,8,2024-11-01,-43.34922731,-21.79488543,05:04:41,"Avenida Darcy Vargas, 733"
132,Ipiranga / Bandeirantes,10069878,05:00,10,7,0,15,2024-11-01,-43.35026687,-21.79390929,05:06:01,"Avenida Darcy Vargas, 583"
132,Ipiranga / Bandeirantes,10069919,05:00,11,0,0,15,2024-11-01,-43.35176886,-21.79202483,05:07:20,"Avenida Darcy Vargas, 311"
132,Ipiranga / Bandeirantes,10069909,05:00,12,0,1,14,2024-11-01,-43.35295266,-21.79057801,05:07:40,"Avenida Darcy Vargas, 105"
132,Ipiranga / Bandeirantes,10071321,05:00,13,1,0,15,2024-11-01,-43.35268021,-21.78905869,05:08,"Rua Ibitiguaia, 1095"
132,Ipiranga / Bandeirantes,10071886,05:00,14,0,0,15,2024-11-01,-43.35198593,-21.78857803,05:08:20,"Rua Ibitiguaia, 1017"
132,Ipiranga / Bandeirantes,10071884,05:00,15,0,0,15,2024-11-01,-43.3499527,-21.78740311,05:08:40,"Rua Ibitiguaia, 795"
132,Ipiranga / Bandeirantes,10071896,05:00,16,0,0,15,2024-11-01,-43.34840775,-21.78651237,05:09,"Rua Ibitiguaia, 603"
132,Ipiranga / Bandeirantes,10071216,05:00,17,0,2,13,2024-11-01,-43.34671504,-21.78607898,05:09:17,"Avenida Santa Luzia, 93"
